seed,split,metric,dice_all,dice_pos_only,n_pos_slices,slices_total,slices_any_tumor_gt,slices_any_tumor_pred,checkpoint,best_val_meanDiceFG,epoch
43,VAL,mean_fg,0.9304553938017012,0.8330623110878617,16476,45136,16476,16996,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,VAL,WT,0.8981629968383965,0.8035618457381872,16476,45136,16476,16996,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,VAL,TC,0.9228880442375843,0.7598815649999991,9839,45136,16476,16996,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,VAL,ET,0.9203270645621848,0.6897739643930323,6847,45136,16476,16996,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,VAL,c1,0.9666714895601128,0.52025137989414,2404,45136,16476,16996,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,VAL,c2,0.8907900975091692,0.7744949657159006,16134,45136,16476,16996,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,VAL,c3,0.9440329235753347,0.7193709925108394,5930,45136,16476,16996,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,VAL,c4,0.9203270645621848,0.6897739643930323,6847,45136,16476,16996,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,TEST,mean_fg,0.9274701549756958,0.8199248583522799,14364,41860,14364,15062,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,TEST,WT,0.8918761217776251,0.7910007235336438,14364,41860,14364,15062,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,TEST,TC,0.922612826230743,0.7384165288350668,9490,41860,14364,15062,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,TEST,ET,0.9181040010265535,0.6561827686125692,6661,41860,14364,15062,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,TEST,c1,0.9691422962531351,0.5050128999585379,2054,41860,14364,15062,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,TEST,c2,0.8805130145785968,0.7524335928111846,14084,41860,14364,15062,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
43,TEST,c3,0.9421213080444792,0.679172285632131,5560,41860,14364,15062,C:/GDNET/logs/step9_2p5d_unet_multiseed_clean_resume/seed_43/best.pt,0.9151873347732509,12
