split,metric,dice_all_mean,dice_all_std,dice_pos_mean,dice_pos_std,n_pos_slices,dice_all_mean_std,dice_pos_mean_std
TEST,ET,0.9188780096965862,0.0010946135585545116,0.6536155885267789,0.0036305408943788377,6661,0.918878 ± 0.001095,0.653616 ± 0.003631
TEST,TC,0.923365909656201,0.0010650207938809593,0.7359427753328718,0.003498415752772272,9490,0.923366 ± 0.001065,0.735943 ± 0.003498
TEST,WT,0.8900631243794879,0.002563965508992802,0.7910430456225447,5.985247211157046e-05,14364,0.890063 ± 0.002564,0.791043 ± 0.000060
TEST,c1,0.9690019389886622,0.0001984951469950779,0.5016656004486111,0.004733796364263423,2054,0.969002 ± 0.000198,0.501666 ± 0.004734
TEST,c2,0.8791833793894184,0.0018803881175444785,0.7534873740444386,0.0014902717118418609,14084,0.879183 ± 0.001880,0.753487 ± 0.001490
TEST,c3,0.9417261085602251,0.000558896470474953,0.6805134638662786,0.0018967124482913932,5560,0.941726 ± 0.000559,0.680513 ± 0.001897
TEST,c4,0.9188780096965862,0.0010946135585545116,0.6536155885267789,0.0036305408943788377,6661,0.918878 ± 0.001095,0.653616 ± 0.003631
TEST,mean_fg,0.9271973591587244,0.00038579154411983726,0.8198173510175228,0.00015203833086802163,14364,0.927197 ± 0.000386,0.819817 ± 0.000152
VAL,ET,0.9208265421733703,0.0007063680118403915,0.6831352057936334,0.009388622448590919,6847,0.920827 ± 0.000706,0.683135 ± 0.009389
VAL,TC,0.9232780173375674,0.0005515052469568084,0.7570460965353516,0.004009957958385901,9839,0.923278 ± 0.000552,0.757046 ± 0.004010
VAL,WT,0.8961777732480262,0.0028075301258447503,0.8051031741786883,0.0021797675846278153,16476,0.896178 ± 0.002808,0.805103 ± 0.002180
VAL,c1,0.9658920476551494,0.0011022973130812813,0.5149764681739948,0.007459851694950351,2404,0.965892 ± 0.001102,0.514976 ± 0.007460
VAL,c2,0.8889005063532798,0.0026722854399991334,0.7771422566882142,0.0037438347965936935,16134,0.888901 ± 0.002672,0.777142 ± 0.003744
VAL,c3,0.9431390553063257,0.0012641206290076885,0.7206617781328645,0.0018254465327841086,5930,0.943139 ± 0.001264,0.720662 ± 0.001825
VAL,c4,0.9208265421733703,0.0007063680118403915,0.6831352057936334,0.009388622448590919,6847,0.920827 ± 0.000706,0.683135 ± 0.009389
VAL,mean_fg,0.9296895378720305,0.001083083842564293,0.8326409298145336,0.0005959231116704198,16476,0.929690 ± 0.001083,0.832641 ± 0.000596
